"직업",임금봉급근로자,4.3,58.5,29.9,5.2,1.2,1,5.3,60.4,30,4,0.3,0,4.2,66.4,28.2,1.1,0,-,4.1,61.1,31.4,2.9,0.2,0.3
"직업",고용원있는사업주,4.4,45.8,34.1,12,0.9,2.8,3.8,46,41.5,7.3,1.1,0.3,5.9,56.6,36,1.5,-,0.1,3.3,51.8,39.1,4.1,1.1,0.6
"직업",고용원없는자영업자,5,49.3,30.8,8.4,3.1,3.3,5.5,54.2,33,6.1,0.7,0.4,4.5,60.6,31.5,3.1,0.2,0.2,4.3,54.5,34.2,5.3,0.8,1
"직업",무급가족 종사자,3.5,41.5,33.4,8.7,5.2,7.7,0.4,52.9,42.1,4.1,0.5,-,2.6,54.2,38.8,4.3,-,-,1.3,57,27.8,7.7,2.3,3.9
"직업",전업주부,1.9,47.5,35.2,8.7,2.8,3.8,2.7,53.1,40,3.5,0.4,0.2,2,56.6,39.9,1.4,-,0,1.9,48.7,42,5.4,0.6,1.3
"직업",학생,3.3,48.4,39.9,5.4,0.8,2.2,2.3,50.6,42.5,4.4,0.2,-,3.2,56.1,38.3,2.5,-,-,3.9,51.1,39,5.1,0.2,0.7
"직업",기타,6.8,48.9,26,9.3,3.4,5.5,9.7,58.9,27,3.6,0.5,0.2,11.1,62.3,22.9,3.2,0.5,-,6.8,55.2,30.5,5,0.6,1.9
"학력",초졸 이하,5.1,42,26,6.8,7.1,13,7.5,42.8,42.4,6.7,0.6,-,6,52.6,37.6,3.5,-,0.3,5.6,40.2,35.8,8.8,2.2,7.4
"학력",중학교,4.4,42.9,29.1,12.4,4.3,6.8,7.7,51.2,32.6,7.1,0.8,0.5,7.3,57.6,31.3,3.3,0.2,0.3,5.2,47.6,39.6,3.9,0.9,2.8
"학력",고등학교,4,49.4,33.1,8.1,2.5,2.9,3.8,53,36.7,5.7,0.6,0.2,3.8,60,34.4,1.7,0.1,0,3.6,53.5,36.2,5.1,0.7,0.9
"학력",대학교이상,4.1,57.8,31.4,5.2,0.9,0.7,5.1,60.1,31,3.5,0.3,0.1,4.2,65.1,29,1.6,0.1,0,4,60.4,32,3.2,0.2,0.2
"가구원수",1인,12.1,56.6,21.5,4.4,2.1,3.3,15.3,59.3,21.4,3.3,0.6,0.1,13.5,67.1,18.1,1,0.1,0.2,13.6,61.1,20.9,3.4,0.4,0.6
"가구원수",2인,3.7,60.2,22.1,7.2,2.8,4,4.2,69,21.1,5,0.5,0.3,3.9,71.7,22.7,1.5,0.1,0,2.7,65.9,25.3,4.4,0.7,1.1
"가구원수",3인이상,2.8,50.4,36.8,7,1.5,1.5,2.8,52.9,39.5,4.5,0.3,0.1,2.5,59.5,36,1.9,0,0,2.4,53.7,39.2,3.9,0.3,0.5
"가구소득",100만원 미만,8.8,39.3,28.8,7.2,5.5,10.5,11.9,49.4,32.7,4.5,1.6,-,11.8,56.6,28.8,2.3,0.3,0.2,10.1,46,33.6,6.3,0.7,3.2
"가구소득",100~200만원 미만,5.9,49.6,26.2,8.5,3.5,6.3,7.5,54.3,29.4,7.4,0.8,0.7,11.7,60.5,25.3,2.3,0.1,-,7.3,51.8,32.4,5.9,1.3,1.2
"가구소득",200~300만원 미만,6.2,58.9,23.8,5.9,2.7,2.7,7.7,63.7,24,3.9,0.6,0.2,7,68.5,22.9,1.4,0.1,0.1,7.4,63.9,23.3,3.7,0.5,1.1
"가구소득",300~400만원 미만,4.9,55.2,30.4,5.9,1.7,1.8,6,59.9,29.6,4.1,0.3,0.1,5.1,65,28.1,1.6,0.1,0,5.6,61.2,28.9,3.2,0.3,0.8
"가구소득",400~500만원 미만,2.9,52.9,34.7,6.9,1.1,1.4,2.9,55.6,37.1,3.9,0.4,0.1,3.2,61.9,32.6,2.1,0.1,-,3.1,58.8,34.6,2.7,0.4,0.4
"가구소득",500~600만원 미만,2.8,52.4,35.7,6.6,1.1,1.5,3.5,54.6,36.5,5.1,0.2,0.1,2.6,61.9,34.1,1.4,0,-,2.4,57.2,35.5,4.1,0.4,0.4
"가구소득",600만원 이상,2.7,52.1,34,7.8,2,1.5,3.6,55.2,36.3,4.5,0.4,0.1,2.6,61.3,34.5,1.6,0,-,2.5,53.4,38.6,4.7,0.3,0.5
